                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.783,                 4.8633,                 2.2976,                 0.0108,                0.72619,                0.06076,                 0.0193,                 2.0781,                 7.3427,                 3.4072,               0.070112,              0.0033209,              0.0033209
                      1,                 1.5754,                 4.3811,                 2.1361,                 0.0134,                      1,                0.24592,                0.10139,                 1.6693,                 6.4781,                 2.9801,               0.039453,              0.0059955,              0.0059955
